Item,Description,Units,Quantity,Supply Rate,Install Rate,Total
0100,Preliminary & General - Fixed,,,,,
0101,Contractual Requirements,Sum,1,R0.00,R0.00,R0.00
0102,Insurances,Sum,1,R0.00,R0.00,R0.00
0103,Temporary Offices & Storage,Sum,1,R0.00,R0.00,R0.00
0104,Portable Water,Sum,1,R0.00,R0.00,R0.00
0105,Electrical Power,Sum,1,R0.00,R0.00,R0.00
0106,Compressed Air,Sum,1,R0.00,R0.00,R0.00
0107,Cranage,Sum,1,R0.00,R0.00,R0.00
0108,Sanitary Facilities,Sum,1,R0.00,R0.00,R0.00
0109,Telephone Facilities,Sum,1,R0.00,R0.00,R0.00
0110,Scaffolding,Sum,1,R0.00,R0.00,R0.00
0111,Employee Accommodation,Sum,1,R0.00,R0.00,R0.00
0112,Equipment & Small Tools,Sum,1,R0.00,R0.00,R0.00
0113,Head office Staff,Sum,1,R0.00,R0.00,R0.00
0114,Site Staff,Sum,1,R0.00,R0.00,R0.00
0115,"Safety Conditions, Site Rules & Regulations",Sum,1,R0.00,R0.00,R0.00
0116,Medical Examination,Sum,1,R0.00,R0.00,R0.00
0117,Security Clearance,Sum,1,R0.00,R0.00,R0.00
0118,Site Meetings,Sum,1,R0.00,R0.00,R0.00
0119,"Programme, Project Planning & Control",Sum,1,R0.00,R0.00,R0.00
0120,Weather Conditions,Sum,1,R0.00,R0.00,R0.00
0121,Freight and Duties,Sum,1,R0.00,R0.00,R0.00
0122,Travel,Sum,1,R0.00,R0.00,R0.00
0123,Testing Authority,Sum,1,R0.00,R0.00,R0.00
,,,,,,
,,,,,,
,Sub Total (carried forward to summary),,,,,R0.00
