Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
,,,,,,,
7000,Passive Equipment,,,,,,
,,,,,,,
7100,Communication Cable,,,,,,
7110,Communication Cable - Type 1 Single Mode 24 Core Fibre Cable,,m,0,R8.40,R27.50,R0.00
7120,Communication Cable - Type 2 Category 6A FTP Cable,,m,0,R15.36,R15.38,R0.00
7130,"Communication Cable - Type 3 8 Core 0.22mm PE INSULATED, MYLAR",,m,0,R10.80,R12.50,R0.00
,,,,,,,
7200,Patch Leads,,,,,,
7210,Patch Lead - Type 1 - FDWLCLC42 - Fibre Patch Lead - 1.5m,,Qty,0,R115.00,R27.50,R0.00
7220,Patch Lead - Type 2 - NPP6ASZDB - Category 6A FTP Patch Lead - 1.5m,,Qty,0,R94.30,R22.50,R0.00
,,,,,,,
7300,Fibre Patch Panel,,,,,,
7310,Fibre Patch Panel - Type 1 24 port,,Qty,0,R600.00,R250.00,R0.00
,,,,,,,
7400,Fibre Splice Tray,,,,,,
7410,Fibre Splice Tray - Type 1 24 port,,Qty,0,R30.00,R200.00,R0.00
,,,,,,,
7500,Fibre Pigtails,,,,,,
7510,Fibre Pigtail - Type - 1 12F Colour coded pigtail,,Qty,0,R597.60,R100.00,R0.00
,,,,,,,
7600,Cableways and Infrastructure,,,,,,
7610,Bosal Conduit  - Type 1 - 25mm Bosal Conduit 25mm and adapters,,m,0,R51.96,R62.50,R0.00
7620,Fibre Duct - Type 1 4 Way 14/10 fibre duct	,,m,0,R25.76,R45.00,R0.00
7630,Fibre Termination Box,,m,0,R92.00,R175.00,R0.00
,,,,,,,
7700,Fibre Splitters,,,,,,
7710,Fibre Splitter - Type 1 1:16 splitter,,Qty,0,R360.00,R237.50,R0.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,R0.00
